,0
pulse_rate.0.0,4.246397354122371
pulse_rate.1.0,0.7323411292227735
diastolic_bp.0.0,4.246397354122371
diastolic_bp.1.0,0.7323411292227735
systolic_bp.0.0,4.246397354122371
systolic_bp.1.0,0.7559650366170565
alanine_aminotransferase.0.0,7.128514056224899
alanine_aminotransferase.1.0,12.119064493267187
aspartate_aminotransferase.0.0,7.4651547365934325
aspartate_aminotransferase.1.0,12.432081266241436
creatinine.0.0,7.175761871013465
creatinine.1.0,12.21946609969289
c.reactive_protein.0.0,7.305693361682022
c.reactive_protein.1.0,12.278525868178598
cystatin_C.0.0,7.128514056224899
cystatin_C.1.0,12.119064493267187
gamma_glutamyltransferase.0.0,7.128514056224899
gamma_glutamyltransferase.1.0,12.124970470115757
glycated_haemoglobin.0.0,8.658162060004726
glycated_haemoglobin.1.0,29.966926529648003
HDL_cholesterol.0.0,14.35152374202693
HDL_cholesterol.1.0,22.625797306874556
IGF1.0.0,7.6541459957476965
IGF1.1.0,12.945901252067092
LDL_direct.0.0,7.4179069218048665
LDL_direct.1.0,12.248995983935743
triglycerides.0.0,7.169855894164895
triglycerides.1.0,12.23127805339003
eid,0.0
53-0.0,0.0
53-1.0,0.0
